"Nummer
Aantal met nr: 304
(eerst vrije nr: 375)";Type;Benodigde SGR/SuwiML elementen voor berekening;SuwiML bericht;Benodigde elementen over transactie voor berekening;;;;
173;AQ;"AANVRAAG UITKERING
* DatAanvraagUitkering

SZ Wet
* CdSzWet";Bijstandsregelingen-v0500;;;;;
;AQ;;;;;;;
;AQ;;;;;;;
;AQ;;;;;;;
;AQ;;;;;;;
;AQ;;;;;;;
;AQ;;;;;;;
;AQ;;;;;;;
;AQ;;;;;;;
;AQ;;;;;;;
;AQ;;;;;;;
;AQ;;;;;;;
;AQ;;;;;;;
1;AQ;Geboortedat;BRPDossierPersoonUWV/v0200;* Aangeleverde peildatum;;;;
2;AQ;Geboortedat;BRPDossierPersoonUWV/v0200;* Aangeleverde peildatum;;;;
4;AQ;Geboortedat;BRPDossierPersoonVraag;* Aangeleverde peildatum;;;;
5;AQ;"ADRES NEDERLAND
* Domicilie adres

ADRESHOUDING
* DatBAdres
* DatEAdres";BRPDossierPersoon-Sets;* Aangeleverde peildatum;;;;
6;AQ;"NATIONALITEIT
* CdNationaliteit
* DatBNationaliteit
* DatENationaliteit
* CdBijzonderNederlanderschap";BRPDossierPersoon-Sets;* Aangeleverde peildatum;;;;
7;AQ;"VERBLIJFSTITEL
* DatBVerblijfstitel
* DatEVerblijfstitel
* CdVerblijfstitel";BRPDossierPersoon-Sets;* Aangeleverde peildatum;;;;
8;AQ;Geboortedat;BRPDossierPersoonUWV/v0200;* Aangeleverde peildatum;;;;
9;AQ;Geboortedat;BRPDossierPersoon-Sets;* Aangeleverde peildatum;;;;
10;AQ;Geboortedat;BRPDossierPersoon-Sets;* Aangeleverde peildatum;;;;
11;BQ;Geen;Geen;* Aangeleverde peildatum;;;;
12;BQ;Geen;Geen;* Aangeleverde peildatum;;;;
13;BQ;Geen;Geen;* Aangeleverde peildatum;;;;
18;AQ;Geboortedat;BRPDossierPersoon;* Aangeleverde peildatum;;;;
19;BQ;Geen;Geen;* Aangeleverde peildatum;;;;
25;AQ;Geboortedat;BRPDossierPersoon-Sets;* Aangeleverde peildatum;;;;
;AQ;Geboortedat;BRPDossierPersoon-Sets;* Aangeleverde peildatum;;;;
;AQ;Geboortedat;BRPDossierPersoon-Sets;* Aangeleverde peildatum;;;;
;AQ;Geboortedat;BRPDossierPersoon-Sets;* Aangeleverde peildatum;;;;
231;AQ;Geboortedat;BRPDossierPersoon-Sets;* Aangeleverde peildatum;;;;
302;AQ;"GEHUWD
AFGELOPEN 2 JAAR GEHUWD
BLOEDVERWANT EERSTE GRAAD
AANVERWANT EERSTE GRAAD
BLOEDVERWANT TWEEDE GRAAD
AANVERWANT TWEEDE GRAAD
ZORGBEHOEFTE

";BRPDossierPersoon Sets & BRPDossierPersoonBewonersvraag & SVBDossierPersoon;* Aangeleverde peildatum;;;;
 ;AQ;"INKOMSTENVERHOUDINGEN
* DatBIkv
* DatEIkv

INKOMSTENOPGAVE
* DatBIko
* DatEIko
*BedrBrutoloonSv
*BedrIngehoudenBijdrageZvW (200)
*BedrIngehoudenLoonLBPremieVolksverz (199)
...
* CdMunteenheid
* CdPositiefNegatief
* WaardeBedr
* CDPeriodeEenheidGeldigheidBedr

";UWVDossierInkomsten;Peildatum voor berekening rekenregel;;;;
84;END2;;"UWVDossierWerknemersverzekeringen
SVBDossierPersoon
Bijstandsregelingen";Peildatum voor berekening rekenregel;;;;
